algo,broker,direction,district,fecha_publicacion,idCliente,lat,lon,moneda,portal,supTotal,supUtil,tipo,title,url,valor,vivienda
algo,Cesar Carrasco Jimenez,Lo Errazuriz 2441,cerrillos,19-01-2020,5363356,-33.5043526,-70.7053833,"<span class=""price-tag-symbol"" content=""400000.0"">$</span>",Portal Inmobiliario,63,58,arriendo,Lo Errazuriz 2441,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5363356-lo-errazuriz-2441-uda,400000,departamento
algo,Arturo Alfaro,Félix Margoz 151,cerrillos,30-12-2019,5314678,-33.493454,-70.7069702,"<span class=""price-tag-symbol"" content=""500000.0"">$</span>",Portal Inmobiliario,120,120,arriendo,Félix Margoz 151,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5314678-felix-margoz-151-uda,500000,departamento
algo,Capitalizarme.com,Arriendo Dpto 2d+1b Cerrillos,cerrillos,06-01-2020,5329013,-33.5079994,-70.7247009,"<span class=""price-tag-symbol"" content=""285000.0"">$</span>",Portal Inmobiliario,42,42,arriendo,Arriendo Dpto 2d+1b Cerrillos,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5329013-arriendo-dpto-2d1b-cerrillos-uda,285000,departamento
algo,Natalia Vidal Gárate - Corredora De Propiedades,"Arriendo De Departamento 3 Dormitorios 2 Baños Con Estacionamiento, Condominio Jardín Oeste",cerrillos,19-12-2019,5134927,-33.5156097,-70.7081604,"<span class=""price-tag-symbol"" content=""380000.0"">$</span>",Portal Inmobiliario,80,76,arriendo,"Arriendo De Departamento 3 Dormitorios 2 Baños Con Estacionamiento, Condominio Jardín Oeste",https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5134927-arriendo-de-departamento-3-dormitorios-2-banos-con-estacionamiento-condominio-jardin-oeste-uda,380000,departamento
algo,Monumento Propiedades Ltda.,"Nva Uno 2252, Los Cerrillos, Cerrillos",cerrillos,10-01-2020,5344120,-33.5150261,-70.7087173,"<span class=""price-tag-symbol"" content=""350000.0"">$</span>",Portal Inmobiliario,63,63,arriendo,"Nva Uno 2252, Los Cerrillos, Cerrillos",https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5344120-nva-uno-2252-los-cerrillos-cerrillos-uda,350000,departamento
algo,Inmobiliaria Arauco,Lo Errazuriz 2441,cerrillos,13-11-2019,5198010,-33.5021706,-70.7075272,"<span class=""price-tag-symbol"" content=""390000.0"">$</span>",Portal Inmobiliario,62,57,arriendo,Lo Errazuriz 2441,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5198010-lo-errazuriz-2441-uda,390000,departamento
algo,Inmobiliaria Arauco,Lo Errazuriz 2441,cerrillos,13-11-2019,5198209,-33.5020981,-70.7078323,"<span class=""price-tag-symbol"" content=""390000.0"">$</span>",Portal Inmobiliario,60,55,arriendo,Lo Errazuriz 2441,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5198209-lo-errazuriz-2441-uda,390000,departamento
algo,Starking Propiedades,Arturo Prat 6770,cerrillos,13-01-2020,5348029,-33.4945908,-70.7192535,"<span class=""price-tag-symbol"" content=""380000.0"">$</span>",Portal Inmobiliario,144,72,arriendo,Arturo Prat 6770,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5348029-arturo-prat-6770-uda,380000,departamento
algo,Arriendoasegurado.com,Vía Rojas,cerrillos,26-11-2019,5232216,-33.4948997,-70.7190018,"<span class=""price-tag-symbol"" content=""347000.0"">$</span>",Portal Inmobiliario,56,56,arriendo,Vía Rojas,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5232216-via-rojas-uda,347000,departamento
algo,Angel Castillo,Avenida Los Libertadores 7300 - Departamento 209 Torre3,cerrillos,22-01-2020,5369867,-33.5065956,-70.7094574,"<span class=""price-tag-symbol"" content=""380000.0"">$</span>",Portal Inmobiliario,57,53,arriendo,Avenida Los Libertadores 7300 - Departamento 209 Torre3,https://www.portalinmobiliario.com/arriendo/departamento/cerrillos-metropolitana/5369867-avenida-los-libertadores-7300-departamento-209-torre3-uda,380000,departamento
